package,exact_locked_version,role,source,license_spdx,redistribution_note,native_runtime_concerns
@electron/get,2.0.3,transitive,https://registry.npmjs.org/@electron/get/-/get-2.0.3.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@esbuild/aix-ppc64,0.25.12,transitive,https://registry.npmjs.org/@esbuild/aix-ppc64/-/aix-ppc64-0.25.12.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=aix; cpu=ppc64
@esbuild/android-arm,0.25.12,transitive,https://registry.npmjs.org/@esbuild/android-arm/-/android-arm-0.25.12.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=android; cpu=arm
@esbuild/android-arm64,0.25.12,transitive,https://registry.npmjs.org/@esbuild/android-arm64/-/android-arm64-0.25.12.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=android; cpu=arm64
@esbuild/android-x64,0.25.12,transitive,https://registry.npmjs.org/@esbuild/android-x64/-/android-x64-0.25.12.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=android; cpu=x64
@esbuild/darwin-arm64,0.25.12,transitive,https://registry.npmjs.org/@esbuild/darwin-arm64/-/darwin-arm64-0.25.12.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=darwin; cpu=arm64
@esbuild/darwin-x64,0.25.12,transitive,https://registry.npmjs.org/@esbuild/darwin-x64/-/darwin-x64-0.25.12.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=darwin; cpu=x64
@esbuild/freebsd-arm64,0.25.12,transitive,https://registry.npmjs.org/@esbuild/freebsd-arm64/-/freebsd-arm64-0.25.12.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=freebsd; cpu=arm64
@esbuild/freebsd-x64,0.25.12,transitive,https://registry.npmjs.org/@esbuild/freebsd-x64/-/freebsd-x64-0.25.12.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=freebsd; cpu=x64
@esbuild/linux-arm,0.25.12,transitive,https://registry.npmjs.org/@esbuild/linux-arm/-/linux-arm-0.25.12.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=linux; cpu=arm
@esbuild/linux-arm64,0.25.12,transitive,https://registry.npmjs.org/@esbuild/linux-arm64/-/linux-arm64-0.25.12.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=linux; cpu=arm64
@esbuild/linux-ia32,0.25.12,transitive,https://registry.npmjs.org/@esbuild/linux-ia32/-/linux-ia32-0.25.12.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=linux; cpu=ia32
@esbuild/linux-loong64,0.25.12,transitive,https://registry.npmjs.org/@esbuild/linux-loong64/-/linux-loong64-0.25.12.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=linux; cpu=loong64
@esbuild/linux-mips64el,0.25.12,transitive,https://registry.npmjs.org/@esbuild/linux-mips64el/-/linux-mips64el-0.25.12.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=linux; cpu=mips64el
@esbuild/linux-ppc64,0.25.12,transitive,https://registry.npmjs.org/@esbuild/linux-ppc64/-/linux-ppc64-0.25.12.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=linux; cpu=ppc64
@esbuild/linux-riscv64,0.25.12,transitive,https://registry.npmjs.org/@esbuild/linux-riscv64/-/linux-riscv64-0.25.12.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=linux; cpu=riscv64
@esbuild/linux-s390x,0.25.12,transitive,https://registry.npmjs.org/@esbuild/linux-s390x/-/linux-s390x-0.25.12.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=linux; cpu=s390x
@esbuild/linux-x64,0.25.12,transitive,https://registry.npmjs.org/@esbuild/linux-x64/-/linux-x64-0.25.12.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=linux; cpu=x64
@esbuild/netbsd-arm64,0.25.12,transitive,https://registry.npmjs.org/@esbuild/netbsd-arm64/-/netbsd-arm64-0.25.12.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=netbsd; cpu=arm64
@esbuild/netbsd-x64,0.25.12,transitive,https://registry.npmjs.org/@esbuild/netbsd-x64/-/netbsd-x64-0.25.12.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=netbsd; cpu=x64
@esbuild/openbsd-arm64,0.25.12,transitive,https://registry.npmjs.org/@esbuild/openbsd-arm64/-/openbsd-arm64-0.25.12.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=openbsd; cpu=arm64
@esbuild/openbsd-x64,0.25.12,transitive,https://registry.npmjs.org/@esbuild/openbsd-x64/-/openbsd-x64-0.25.12.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=openbsd; cpu=x64
@esbuild/openharmony-arm64,0.25.12,transitive,https://registry.npmjs.org/@esbuild/openharmony-arm64/-/openharmony-arm64-0.25.12.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=openharmony; cpu=arm64
@esbuild/sunos-x64,0.25.12,transitive,https://registry.npmjs.org/@esbuild/sunos-x64/-/sunos-x64-0.25.12.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=sunos; cpu=x64
@esbuild/win32-arm64,0.25.12,transitive,https://registry.npmjs.org/@esbuild/win32-arm64/-/win32-arm64-0.25.12.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=win32; cpu=arm64
@esbuild/win32-ia32,0.25.12,transitive,https://registry.npmjs.org/@esbuild/win32-ia32/-/win32-ia32-0.25.12.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=win32; cpu=ia32
@esbuild/win32-x64,0.25.12,transitive,https://registry.npmjs.org/@esbuild/win32-x64/-/win32-x64-0.25.12.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=win32; cpu=x64
@napi-rs/lzma-linux-x64-gnu,1.5.1,transitive,https://registry.npmjs.org/@napi-rs/lzma-linux-x64-gnu/-/lzma-linux-x64-gnu-1.5.1.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=linux; cpu=x64
@radix-ui/primitive,1.1.7,transitive,https://registry.npmjs.org/@radix-ui/primitive/-/primitive-1.1.7.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@radix-ui/react-compose-refs,1.1.5,transitive,https://registry.npmjs.org/@radix-ui/react-compose-refs/-/react-compose-refs-1.1.5.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@radix-ui/react-context,1.2.2,transitive,https://registry.npmjs.org/@radix-ui/react-context/-/react-context-1.2.2.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@radix-ui/react-dialog,1.1.23,transitive,https://registry.npmjs.org/@radix-ui/react-dialog/-/react-dialog-1.1.23.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@radix-ui/react-dismissable-layer,1.1.19,transitive,https://registry.npmjs.org/@radix-ui/react-dismissable-layer/-/react-dismissable-layer-1.1.19.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@radix-ui/react-focus-guards,1.1.6,transitive,https://registry.npmjs.org/@radix-ui/react-focus-guards/-/react-focus-guards-1.1.6.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@radix-ui/react-focus-scope,1.1.16,transitive,https://registry.npmjs.org/@radix-ui/react-focus-scope/-/react-focus-scope-1.1.16.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@radix-ui/react-id,1.1.4,transitive,https://registry.npmjs.org/@radix-ui/react-id/-/react-id-1.1.4.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@radix-ui/react-portal,1.1.17,transitive,https://registry.npmjs.org/@radix-ui/react-portal/-/react-portal-1.1.17.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@radix-ui/react-presence,1.1.10,transitive,https://registry.npmjs.org/@radix-ui/react-presence/-/react-presence-1.1.10.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@radix-ui/react-primitive,2.1.10,transitive,https://registry.npmjs.org/@radix-ui/react-primitive/-/react-primitive-2.1.10.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@radix-ui/react-slot,1.3.3,transitive,https://registry.npmjs.org/@radix-ui/react-slot/-/react-slot-1.3.3.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
